senDfa0,senDfa1,senDfa2,senDfa3,senDfa4,senDfa5,senDfa6,senDfa7,senDfa8,senDfa9,senDfa10,senDfa11,senDfa12,senDfa13,senDfa14,senDfa15,senDfa16,senDfa17,senDfa18,senDfa19,senDfa20,senDfa21,senDfa22,senDfa23,senDfa24,senDfa25,senDfa26,senDfa27,senDfa28,senDfa29,senDfa30,senDfa31,senDfa32,senDfa33,senDfa34,senDfa35,senDfa36,senDfa37,senDfa38,senDfa39
-0.0021333218864365592,-0.0003246133810240255,-0.0001557395703209309,0.0011143470241662722,0.0006360743784714143,-0.0015586649413865544,0.001630646602371676,0.0013803226981733516,-0.006688327537620262,-0.0076418974045513845,-0.002266119726853913,-0.00786383660368842,-0.011084854633272792,-0.004975353911702208,-0.0017893769471048976,-0.0068397599308645035,0.0015641080288801815,-0.0008701854080186758,-0.003635989025305793,-0.0006909285345248255,-0.005352283298679529,-0.004868927070294922,-0.0006231600688328278,-0.0028184977485589072,-0.0006599204203615631,-0.0005154400755246315,-0.004715830014325831,-0.0048787312224956424,0.0033933841238338322,-0.0018402289884762184,0.0015756038495227135,-0.00025664765597346135,1.0794291530729452,1.0010488070580748,1.4811988438275672,1.1860417558310012,1.8466022811895209,1.3225533782084724,1.16065056048567,1.911012080173864
-0.006261638810224091,-0.006898321680699756,-0.00983395280972876,-0.008836633974992491,-0.00558273762865189,-0.005103464932608464,-0.005215294042542618,-0.007236157000730137,-0.00953948679426402,-0.0038131508407657634,-0.006777827883693202,-0.005367829587271789,-0.005916959023596016,-0.004874556048958582,-0.0061860081989511635,-0.007401976961405294,-0.0075856534965010455,0.00022299433227422467,-0.0036443725924083796,-0.006362716275486162,-0.011072166236967423,-0.006310558451999394,-0.00425965987888904,-0.005796039827204736,-0.006712771093306256,-0.0022792670864248852,-0.005172367059641032,-0.006220836509427237,-0.005794000828231354,-0.002604590471149825,-0.0073662548286590095,-0.005395788080753732,1.0439580182254498,1.0694778008026808,1.54398087451278,1.1340811878446693,1.6711329742148238,1.0605727693482672,1.0453040936681597,1.9303661437844957
-0.0076809927243516206,-0.011059647121209064,-0.008450057082656559,-0.0033127865988043237,-0.00834840381530638,-0.004509578643913989,-0.008339832403372684,-0.0036360783163630287,-0.008242494856379384,-0.010574944379739907,-0.009209213661094656,-0.009926026413946451,-0.0047286474470038965,-0.004953107984099461,-0.004575090878903976,-0.0038408064219490603,-0.013326123346574913,-0.009788954688790888,-0.02124875135683529,-0.01638832337105509,-0.008225934288433405,-0.005925623917295404,-0.017461662469657642,-0.0038944935766435608,-0.004798366956799926,-0.008895416880439945,-0.008672823609023713,-0.0030507727460440397,-0.009404445203712348,-0.009940627485193294,-0.007128024844007216,-0.005933144061946522,1.0031889987045186,1.046949571827433,1.3452134026436382,1.048057057614394,1.8799447978661263,1.113961678942336,1.1284424808691729,1.9580885731400817
-0.01767503016417678,-0.01201299786151297,-0.012037896947091724,-0.0211743099433274,-0.01869231625632669,-0.003881745426689139,-0.013476600160372646,-0.0075049159867119795,-0.01424468621576618,-0.013097455749241486,-0.0013838203640928108,-0.00948517032572253,-0.008484455949088608,-0.005570377990375778,-0.007377010775858577,-0.0140073748306392,-0.0048456687707771505,-0.0005796268477389616,8.073178784084035e-05,-0.0029153271708015948,-0.009388003871858588,-0.008505811748983936,-0.002438412105357009,0.0021043319677857128,-0.014313179613763178,-0.007849268857457665,-0.024678855067134343,-0.01896735390527899,-0.005000540847112892,-0.016077676197398225,-0.007399652222056838,-0.0070265036513168936,1.2330359617133155,1.1391158565665007,1.7691205273921915,1.4422439502471012,1.872737653615296,1.202237872818895,0.8837702362586147,1.9630536180543936
-0.009452819130288984,-0.0064952743759796655,-0.006437137999337189,-0.00889002622255184,-0.00559352351530545,-0.008345654811105494,-0.004880156189598424,-0.004361913447812471,-0.003012508606585389,-0.008143474409107128,-0.006661986839459286,-0.0052293392235531954,-0.010357889772006287,-0.0064629814817576394,-0.004579255414808563,-0.010527078622409428,-0.0066175696518129285,-0.00388858972793048,-0.006967092712803303,-0.003230221252226894,-0.003897301696422743,-0.0036213572087550727,-0.004270914531824029,-0.011246710614573758,-0.005845294221057096,-0.0026043866072192967,-0.006659520719328275,-0.0103615111741982,-0.0037635625849465866,-0.00460266703075581,-0.004121573686456979,-0.004870692555420885,1.2614794009964083,1.4038366144241752,1.290948808279853,1.2071926988984378,1.943393292341532,1.3067774433760506,0.9910821534079112,1.9448942574316843
-0.009433757824588263,-0.008732232647176446,-0.007953243572254418,-0.0067072408481378964,-0.016022239740646472,-0.01689904909335895,-0.007393851482866629,-0.007633691825267623,-0.00879066521573603,-0.005246078550901574,-0.006492298686836483,-0.012304718439461649,-0.011711873074940995,-0.014246465849009468,-0.014216427521465012,-0.0098731076107212,-0.006721310770638941,-0.020949884993593224,-0.009574753081833049,-0.0038985998452495674,-0.006503500309068258,-0.010593639778526657,-0.0024636917828448263,-0.006284062997805914,-0.011190040278759177,-0.008804458906386736,-0.009882774791404307,-0.010942465069040778,-0.005895450336762944,-0.012135343243331143,-0.006602106967890811,-0.010325437240435515,1.1487238533798882,1.2970828580821332,1.4158079160813506,1.3537416652337493,1.8918046528861423,1.1370740131104942,1.0506622120562428,1.982495751198302
-0.0071808075073454825,-0.004738343625011838,-0.001781924965494628,-0.004057104145277934,-0.0005098015694925803,-0.0005230956432164341,0.0002063127634542101,0.0005535043465121327,-0.00264991236633125,-0.003621001205477231,-0.00043573810754010613,-0.006385497814601129,-0.011935633468762237,-0.011900722086605687,-0.013125245837235304,-0.010143412192632494,-0.002903176944961613,-0.0017597109950407378,-0.005124916270739372,-0.0027098152052279275,-0.011043121955761992,-0.006221019713983072,-0.005680635301307948,-0.0046352381691799616,-0.0016491750219751586,-0.00043181865847302284,-0.006170106899893725,-0.0057012290006445455,0.0015612514860580775,-0.005093626173449625,-0.0032520366952026297,-0.010178450622425823,1.1256758368887791,0.96393007141376,1.4901748579719107,1.1598890123251653,1.7452536316316851,1.6517017676200725,1.2536122042186644,1.9808773849269399
-0.0055489650489039,-0.0033667881585825467,-0.0026319190055940724,-1.0122985041023617e-05,0.0018634533923505379,-0.0038025521525038826,0.000391566387929886,0.001086831727791231,-0.003363388001666568,-0.005275717319444553,0.0013188907923044832,-0.002187830755442184,-0.008993840996540573,-0.011701888250417843,-0.009392684161099516,-0.004338627382883663,0.0006261503925927959,-0.0019069765743131245,-0.0013890443013852534,0.0002518883149395191,-0.00351187469104812,-0.004215676126291488,-0.0011259196286187902,-0.0040672207508350745,-0.0007786231074114521,0.003240590102579301,-0.0024571143921550747,-0.0027326357290335572,0.0038385877900687783,-0.004256946722760321,-0.0007462799404501662,-0.007143901385371983,1.3465166108484667,1.1459866069059914,1.4079839751094472,1.1547881733417642,1.8142079855572424,0.9822488497164972,1.0115283762485083,1.9574598109733128
-0.003830183089582912,-0.001806418276648581,-0.0015131377533917142,0.0006418435598172918,-0.003681615362926317,-0.00481846658151689,-0.005031452970442655,-0.0010446617430131676,-0.010560056312899626,-0.015930703873997618,-0.002511964161962869,-0.006605415994819248,-0.006770394893876174,-0.005029259149477042,-0.005967111952139431,-0.008192755277708777,-1.7348458879807637e-05,-0.001980457425708845,-0.0015583095843545905,-0.0013218680478768886,-0.0040231634786291005,-0.004784869659276594,-0.005383115745962185,-0.006722089418711526,-0.006963696825224592,-0.0005272351973080293,-0.0072572438983687215,-0.010076497021105026,0.0009208287862499019,-0.003939330975344365,-0.0012612275122543687,-0.004037409965977657,1.1471009826372809,1.000791392263083,1.3844661262524054,1.1397978185643296,1.8895713155665388,1.2137973748323418,0.7783415434433999,1.9831157257077148
-0.005672931424224504,-0.007751299519488694,-0.006770837744750857,-0.0030390310790525906,-0.00046505061521476347,-0.002491296272962466,-0.002115540441034173,0.0011591487443893054,-0.003068261087887135,-0.006602267076111494,-0.00269900836338796,-0.004405445951450233,-0.004904283380593897,-0.005029093048290758,-0.00750112620856142,-0.008141855206761845,-0.0032738271585864656,-0.002823751620840019,-0.0033948795982024567,-0.0038419858901017506,-0.005173951761571765,-0.007253326890443487,-0.00564292062304283,-0.0077729304935449765,-0.0020288106450997035,-0.0017353829196005619,-0.0037070095061603634,-0.005725252982373798,-0.001211020081264538,-0.003464151100777729,-0.0035613515993127547,-0.006488800899634666,1.2871186348403707,1.294723148289565,1.4499139780296058,1.4544957169600587,1.8264684250869525,1.2936631718878453,1.1998124734132916,1.9718019348896831
